Airtable UUID,Total_Covered_Lives,Weight_Rank_1_to_5
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,132640,4
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,46891,3
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,58482,3
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,704405,5
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,740513,5
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,197468,4
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,378144,5
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,67059,3
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,73720,3
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,857532,5
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,418676,5
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,9592,1
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,55779,3
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,49999,3
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,812430,5
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,175857,4
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,177639,4
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,58362,3
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,118854,4
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,179689,4
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,533634,5
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,130809,4
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,268339,4
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,83122,3
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,337061,5
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,79188,3
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,33876,2
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,239473,4
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,51518,3
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,53999,3
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,2964,1
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,961192,5
CHIR_IDrec9ghBDY96gYPxhh-290179-NJNew Jersey Educ,961192,5
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,25518,2
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,122894,4
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,985870,5
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,533018,5
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,185349,4
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,259277,4
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,876274,5
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,19441,2
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,104383,4
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,14332,2
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,244706,4
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,2445489,5
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,161219,4
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,597181,5
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,15696,2
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,318833,5
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,144841,4
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,91412,3
CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,15250,2
CHIR_IDrecthjnRCE5vRUEYp-198183-AKValue Drug Form,1219824,5
CHIR_IDrecJUkHMhy9wFydai-316783-AKCigna National ,16398,2
CHIR_IDrecLeYx1W3KeMjAbG-286395-AKStandard Plus P,16398,2
CHIR_IDrec19rlq1vtNSOYbr-136993-AKCigna Advantage,16398,2
CHIR_IDrecSc9PHbFNuB92wa-268516-AKCigna Total Sav,16398,2
CHIR_IDrecopGdpAEow8JYII-136991-AKCigna Performan,16398,2
CHIR_IDrecFKQWY0a58xrntl-268479-AKCigna Specialty,16398,2
CHIR_IDrecalp2Vf0dSYE8zP-268488-AKCigna Value 4-T,16398,2
CHIR_IDrecrSc38zq5JJ64ol-198422-AKCigna Legacy (S,16398,2
CHIR_IDrecSlQXSljxNDjwxP-268477-AKCigna Standard ,16398,2
CHIR_IDrecvhsz05Tb03gEcw-268489-AKCigna Specialty,16398,2
CHIR_IDrecJd5kD6r5l5kdhh-136990-AKCigna Performan,16398,2
CHIR_IDrec12S6n89bo0pR1H-268513-AKCigna Legacy (P,16398,2
CHIR_IDrecl2FUMKjFmSeaLa-151892-AKCigna Standard ,16398,2
CHIR_IDrech1mbeY7bu1smZ5-136992-AKCigna Advantage,16398,2
CHIR_IDrecQ40lXEB3LnrTmV-268511-AKCigna Legacy (P,16398,2
CHIR_IDreceJlrorRcUoCUC9-268502-AKCigna Legacy (S,16398,2
CHIR_IDrecbPqYntfpVpF3T2-198426-AKCigna Value 3-T,16398,2
CHIR_IDrecuANwgvoPFcpMrm-268528-AKStandard and Pe,16398,2
CHIR_IDrecLhChQdPINtnJPv-268503-AKCigna Specialty,16398,2
CHIR_IDrecHL5acZB4MwThLP-268529-AKValue and Advan,16398,2
CHIR_IDrecIjID5czWzbR1pX-268530-AKLegacy (Standar,16398,2
CHIR_IDrec9TSEoHzm9YHyfK-286394-AKStandard Plan G,16398,2
CHIR_IDreccbA3CpSYRKM9Bt-268535-AKStandard Preven,16398,2
