Document Title,Policy subpart,Source,Payer,Plan Bucket,PBM,Plan Types,States,Number of States,Plan Types and States,Document Type,Categories,Link to Policy/Formulary PDF,Link to Revision History,Policy Identifier,Link to PDF Formulary (Broken),Policy Last Updated,Status,Review date,Next review date (payer defined),Next review date (est.), Medical Covered Lives,Plan Type(s),CGMs Covered,Device Type Covered (from CGMs Covered),CGMs Preferred,Device Type Preferred (from CGMs Preferred),AIDs Covered,AIDs Preferred,CGM Coverage/Distribution Path,Diabetes Diagnosis,Multiple insulin injections daily or insulin pump use,Inadequate glycemic control,Episodes of hyperglycemia,Episodes of hypoglycemia,Hypoglycemia unawareness,Demonstrated understanding of and willingness to use technology,Age criteria,Self monitoring of glucose levels,Reference to clinical treatment guidelines,Compatability override,Replacement criteria,Renewal criteria,Policy includes coding recommendations,Summary of criteria,Review Complete,Sensor quantity limit,Review Comments,CHIR Review Fields Last Modified,AIDs Excluded,CGMs Excluded,Device Type Excluded,UM Prior Auth.,UM Step Therapy,UM QL,PA approval length,Clinical guideline or PA vendor referenced,Policy document is used by other focus payers (check all),Policy document is used by other commercial payers (list all),Policy document is used by at least one Medicaid MCO,uuid_formula,airtable_uuid
Durable Medical Equipment,,Policy Database,Anthem,,,"Managed Medicaid,Commercial","CA,CO,CT,GA,IN,KY,LA,ME,MO,NH,NV,NY,OH,OR,VA,WI,NE",17,"Managed Medicaid: [CA,IN,KY,MO,NE,NV,NY,VA,WI],Commercial: [CA,CO,CT,IN,KY,LA,ME,MO,NH,NV,OH,VA,WI,GA,NY,OR]",Medical Policy,"[""Durable Medical Equipment->DME General""]",https://portal.policyreporter.com/geturlupdate.php?urlid=1314&updateid=4893618,https://portal.policyreporter.com/policy-updates/1314,1314,,5/12/2025,Active,10/1/2024,,10/1/2025,4736882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecK0X7ur5sDpsIK6-1314-CADurable Medical,recK0X7ur5sDpsIK6
Durable Medical Equipment,,Policy Database,Florida Blue,,,Commercial,FL,1,Commercial: [FL],Medical Policy,"[""Durable Medical Equipment->DME General""]",https://portal.policyreporter.com/geturlupdate.php?urlid=1323&updateid=4901686,https://portal.policyreporter.com/policy-updates/1323,1323,,5/17/2025,,,,,2099726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrec3wD0IZKQJ0ezgB-1323-FLDurable Medical,rec3wD0IZKQJ0ezgB
"Preventive Health Guidelines (Commercial, Medicaid)",,Policy Database,Anthem,,,"Commercial,Managed Medicaid","CA,IN,KY,MO,NV,NY,VA,WI",8,"Commercial: [CA,IN,KY,MO,NV,VA,WI,NY],Managed Medicaid: [CA,IN,KY,MO,NV,NY,VA,WI]",Medical Policy,"[""Preventive Services->Preventive Practice Guidelines""]",https://portal.policyreporter.com/geturlupdate.php?urlid=1832&updateid=4897996,https://portal.policyreporter.com/policy-updates/1832,1832,,5/14/2025,Active,6/28/2024,,6/28/2025,3696298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecCR7mH5ftudrtoI-1832-CAPreventive Heal,recCR7mH5ftudrtoI
Self-Administered Oncology Agents (Commercial),,Policy Database,BCBS Illinois,,,Commercial,IL,1,Commercial: [IL],Prior Authorization (PA) Criteria,"[""Administrative Documents->Pharmacy Coverage Admin"",""Oncology""]",https://portal.policyreporter.com/geturlupdate.php?urlid=5599&updateid=4857201,https://portal.policyreporter.com/policy-updates/5599,5599,,4/16/2025,Active,4/14/2025,,4/14/2026,1844563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecL9G4tPdYRp33cp-5599-ILSelf-Administer,recL9G4tPdYRp33cp
Self-Administered Oncology Agents (Commercial),,Policy Database,BCBS Texas,,,Commercial,TX,1,Commercial: [TX],Prior Authorization (PA) Criteria,"[""Administrative Documents->Pharmacy Coverage Admin"",""Oncology""]",https://portal.policyreporter.com/geturlupdate.php?urlid=5599&updateid=4857201,https://portal.policyreporter.com/policy-updates/5599,5599,,4/16/2025,Active,4/14/2025,,4/14/2026,3082726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecBtq0ET0RR7KjMW-5599-TXSelf-Administer,recBtq0ET0RR7KjMW
Home Health,,Policy Database,Anthem,,,"Commercial,Managed Medicaid","CA,IN,KY,MO,NV,NY,VA,WI",8,"Commercial: [CA,IN,KY,MO,NV,VA,WI,NY],Managed Medicaid: [CA,IN,KY,MO,NV,NY,VA,WI]",Medical Policy,"[""Payment Policies->Point of Service Billing->Home Health Services""]",https://portal.policyreporter.com/geturlupdate.php?urlid=6364&updateid=4893640,https://portal.policyreporter.com/policy-updates/6364,6364,,5/12/2025,Active,1/30/2025,,1/30/2026,3696298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecs4fEe3h1wgXmy5-6364-CAHome Health,recs4fEe3h1wgXmy5
"Home Hemodialysis (Commercial, Individual Exchange)",,Policy Database,United Healthcare,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,VI,WA,WI,WV,WY,MN,SD",50,"Commercial: [AZ,CO,DC,FL,IL,KS,KY,MA,MD,MO,MS,NC,NE,NJ,NV,OK,PA,SC,TN,TX,VA,WA,AK,AL,AR,CA,CT,DE,GA,ID,IN,LA,ME,MI,MN,NH,NM,NY,OH,OR,RI,UT,VI,WI,WV,WY,HI,IA,MT,SD]",Medical Policy,"[""Payment Policies->Point of Service Billing->Home Health Services->Skilled Nursing Home Care"",""Transplant and Transfusion->Renal Replacement Therapy->Renal Dialysis->Home Dialysis""]",https://portal.policyreporter.com/geturlupdate.php?urlid=11616&updateid=4878401,https://portal.policyreporter.com/policy-updates/11616,11616,,5/2/2025,Active,5/1/2025,,5/1/2026,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrece42dOP2ZXRJ0Qm-11616-AKHome Hemodialys,rece42dOP2ZXRJ0Qm
Bundled Services and Supplies - Professional,,Policy Database,Anthem,,,Commercial,NY,1,Commercial: [NY],Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Reimbursement Procedures Billing->Bundling Billing""]",https://portal.policyreporter.com/geturlupdate.php?urlid=12302&updateid=4405463,https://portal.policyreporter.com/policy-updates/12302,12302,,7/24/2024,Pending,6/12/2024,,6/12/2025,216427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecO0InU1GqnNsF1K-12302-NYBundled Service,recO0InU1GqnNsF1K
Anesthesia Services and Moderate Sedation,,Policy Database,Anthem,,,"Managed Medicaid,Commercial","CA,CO,CT,IN,KY,ME,MO,NH,NV,NY,OH,OR,VA,WI,NE",15,"Managed Medicaid: [CA,IN,KY,MO,NE,NV,NY,VA,WI],Commercial: [CA,CO,CT,IN,KY,ME,MO,NH,NV,OH,VA,WI,NY,OR]",Medical Policy,"[""Payment Policies->Billing Policies->Hospital Services Billing->Anesthesia Payment"",""Respiratory->Anesthesia Respiratory""]",https://portal.policyreporter.com/geturlupdate.php?urlid=15629&updateid=4893543,https://portal.policyreporter.com/policy-updates/15629,15629,,5/12/2025,Active,1/30/2025,,1/30/2026,4715429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecOPe8rpfJotIVrK-15629-CAAnesthesia Serv,recOPe8rpfJotIVrK
Anesthetics for the Treatment of Psychiatric Disorders and Other Selected Indications (Commercial),,Policy Database,BCBS Illinois,,,Commercial,IL,1,Commercial: [IL],Medical Policy,"[""Payment Policies->Billing Policies->Hospital Services Billing->Anesthesia Payment"",""Pharmaceuticals->Antidepressants->NMDA Receptor Antagonists for Depression"",""Pharmaceuticals->Sedatives and Anesthetics->IV General Anesthetics""]",https://portal.policyreporter.com/geturlupdate.php?urlid=15809&updateid=4722376,https://portal.policyreporter.com/policy-updates/15809,15809,,1/15/2025,Pending,1/15/2025,,1/15/2026,1844563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrec9xmzNRlVyc3SkE-15809-ILAnesthetics for,rec9xmzNRlVyc3SkE
Anesthetics for the Treatment of Psychiatric Disorders and Other Selected Indications (Commercial),,Policy Database,BCBS Texas,,,Commercial,TX,1,Commercial: [TX],Medical Policy,"[""Payment Policies->Billing Policies->Hospital Services Billing->Anesthesia Payment"",""Pharmaceuticals->Antidepressants->NMDA Receptor Antagonists for Depression"",""Pharmaceuticals->Sedatives and Anesthetics->IV General Anesthetics""]",https://portal.policyreporter.com/geturlupdate.php?urlid=15809&updateid=4722376,https://portal.policyreporter.com/policy-updates/15809,15809,,1/15/2025,Pending,1/15/2025,,1/15/2026,3082726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrec33U9fQjHaHeGFy-15809-TXAnesthetics for,rec33U9fQjHaHeGFy
Prior Authorization List,,Policy Database,Blue Shield California,,,"Commercial,Medicare Advantage,Medicare Part D",CA,1,"Commercial: [CA],Medicare Advantage: [CA],Medicare Part D: [CA]",Prior Authorization (PA) List,"[""Prior Authorization->PA Lists""]",https://portal.policyreporter.com/geturlupdate.php?urlid=16741&updateid=4897498,https://portal.policyreporter.com/policy-updates/16741,16741,,5/14/2025,Active,5/1/2025,,6/1/2025,1991851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecgpHL42cHicjrO0-16741-CAPrior Authoriza,recgpHL42cHicjrO0
Prior Authorization Program Information,,Policy Database,Florida Blue,,,Commercial,FL,1,Commercial: [FL],Prior Authorization (PA) List,"[""Prior Authorization->PA Lists""]",https://portal.policyreporter.com/geturlupdate.php?urlid=17599&updateid=4210459,https://portal.policyreporter.com/policy-updates/17599,17599,,4/1/2024,Active,4/1/2024,,4/1/2025,2099726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecfDguGOWcHleYHn-17599-FLPrior Authoriza,recfDguGOWcHleYHn
