Document Title,Payer,Market Segment,Number of Approved CGMs,UUID_dupe,Cross-Payer Grouping A,Cross-Payer Grouping B
Advanced Control (Aetna) Preventive Drug List (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrec52ER4EiztMusFT-290161-AKAdvanced Contro,"Aetna, Unclear, 2-3 Devices",
Advanced Control Choice Plan Chronic Drug List (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrecqKY0xH18EYztI1-341591-AKAdvanced Contro,"Aetna, Unclear, 2-3 Devices",
Advanced Control Choice Plan Excluded Drug List (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrecPZTySd1W6DVH73-341593-AKAdvanced Contro,"Aetna, Unclear, 2-3 Devices",
Advanced Control Choice Plan Formulary (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrecB26CXyDh8l6Vq1-341588-AKAdvanced Contro,"Aetna, Unclear, 2-3 Devices",
Advanced Control Choice Plan Preventive Drug List (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrecD6hl8pPj6FRbYR-341590-AKAdvanced Contro,"Aetna, Unclear, 2-3 Devices",
Advanced Control Excluded Drug List (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrecoqZqkKyzGziauW-268577-AKAdvanced Contro,"Aetna, Unclear, 2-3 Devices",
Advanced Control Formulary (Health Plan),Aetna,Unclear,Eight - Nine,CHIR_IDrecIWB7PdXzAPdoCV-225921-IDAdvanced Contro,"Aetna, Unclear, 8-9 Devices",
Advanced Control Plan Aetna Exclusion Drug List (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrecLfswjREUsU8smn-229629-AKAdvanced Contro,"Aetna, Unclear, 2-3 Devices",
"Advanced Control Plan and Aetna Federal Employees Formulary Exclusions Drug List (Health Plan, Federal Employer)",Aetna,Unclear,Two - Three,CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,"Aetna, Unclear, 2-3 Devices",
Advanced Control Plan Pharmacy Drug Guide (Health Plan),Aetna,Unclear,Eight - Nine,CHIR_IDrecBQ3c1QzKs20vEI-229627-AKAdvanced Contro,"Aetna, Unclear, 8-9 Devices",
Advanced Control Plan Prescription Drug List (CA Health Plan),Aetna,Unclear,Two - Three,CHIR_IDrecuHhjBy48zfFIAs-268466-CAAdvanced Contro,"Aetna, Unclear, 2-3 Devices",
Advanced Control Plan Preventive Medicine List (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDreczy0XgH9gJnVRAw-229628-AKAdvanced Contro,"Aetna, Unclear, 2-3 Devices",
Aetna Advanced Control Chronic Medication List (Health Plan),Aetna,Unclear,Two - Three,CHIR_IDreciLNOX0WRwG0oLY-268467-AKAetna Advanced ,"Aetna, Unclear, 2-3 Devices",
Aetna Advanced Control Plan Pharmacy Drug Guide (Health Plan),Aetna,Unclear,Eight - Nine,CHIR_IDrecDBS0ZAgvcdJ9Ri-300605-AKAetna Advanced ,"Aetna, Unclear, 8-9 Devices",
Aetna Health Exchange Plan Formulary (DE Health Plan),Aetna,Individual,Two - Three,CHIR_IDrecyGFalKBIIUXJjS-310966-DEAetna Health Ex,"Aetna, Individual and Family Plan, 2-3 Devices",
Aetna Health Exchange Plan Formulary (FL Health Plan),Aetna,Individual,Two - Three,CHIR_IDrec0UtvZv6PdiTdId-290156-FLAetna Health Ex,"Aetna, Individual and Family Plan, 2-3 Devices",
"Aetna Health Exchange Plan Formulary (IL, IN Health Plan)",Aetna,Individual,Two - Three,CHIR_IDrecnLJ9OfLwoWEi2i-310965-ILAetna Health Ex,"Aetna, Individual and Family Plan, 2-3 Devices",
Aetna Health Exchange Plan Formulary (NY Health Plan),Aetna,Individual,Two - Three,CHIR_IDrec03bWkxiGc608j0-290157-NYAetna Health Ex,"Aetna, Individual and Family Plan, 2-3 Devices",
