Payer,States,New Market Segment(s),Total_Covered_Lives,Attributed_Policy_IDs,Attributed_Airtable_UUIDs,Weight_Rank_1_to_5
Aetna,AK,Large Group,52557,,,3
Aetna,AK,Self Funded/Employer Sponsored,132640,290099,CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,4
Aetna,AK,Small Group,27141,,,2
Aetna,AL,Self Funded/Employer Sponsored,46891,290099,CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,3
Aetna,AR,Large Group,1141,,,1
Aetna,AR,Self Funded/Employer Sponsored,58482,290099,CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,3
Aetna,AZ,Individual,120893,,,4
Aetna,AZ,Large Group,21820,,,2
Aetna,AZ,Self Funded/Employer Sponsored,704405,290099,CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,5
Aetna,AZ,Small Group,10259,,,1
Aetna,CA,Large Group,167830,,,4
Aetna,CA,Self Funded/Employer Sponsored,740513,290099,CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,5
Aetna,CA,Small Group,12806,,,2
Aetna,CO,Large Group,38236,,,2
Aetna,CO,Self Funded/Employer Sponsored,197468,290099,CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,4
Aetna,CO,Small Group,19857,,,2
Aetna,CT,Self Funded/Employer Sponsored,378144,290099,CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,5
Aetna,DC,Large Group,96960,,,4
Aetna,DC,Self Funded/Employer Sponsored,67059,290099,CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,3
Aetna,DC,Small Group,65,,,1
Aetna,DE,Individual,5969,,,1
Aetna,DE,Large Group,994,,,1
Aetna,DE,Self Funded/Employer Sponsored,73720,290099,CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,3
Aetna,DE,Small Group,514,,,1
Aetna,FL,Individual,601945,,,5
Aetna,FL,Large Group,445209,,,5
Aetna,FL,Self Funded/Employer Sponsored,857532,290099,CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,5
Aetna,FL,Small Group,153921,,,4
Aetna,GA,Individual,131174,,,4
Aetna,GA,Large Group,83339,,,3
Aetna,GA,Self Funded/Employer Sponsored,418676,290099,CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,5
Aetna,GA,Small Group,105877,,,4
