Source,Dest,Value,step_from,step_to
National Carrier A,Dexcom,78,0,1
Dexcom,Dexcom,693,1,2
Dexcom,Match of Coverage and Preference,693,2,3
National Carrier A,FreeStyle,59,0,1
FreeStyle,FreeStyle,698,1,2
FreeStyle,Match of Coverage and Preference,698,2,3
National Carrier A,Medtronic,24,0,1
Medtronic,Fewer Preferred Devices than Coverage,265,2,3
National Carrier A,Eversense,13,0,1
Eversense,Fewer Preferred Devices than Coverage,177,2,3
FreeStyle,Fewer Preferred Devices than Coverage,92,2,3
Dexcom,Fewer Preferred Devices than Coverage,5,2,3
National Carrier A,No Coverage or Preferences Listed,18,0,3
Regional Carrier A,Dexcom,242,0,1
Regional Carrier A,Medtronic,172,0,1
Regional Carrier A,Eversense,144,0,1
Regional Carrier A,FreeStyle,267,0,1
Regional Carrier A,No Coverage or Preferences Listed,2,0,3
State Carrier A,Dexcom,12,0,1
State Carrier A,No Coverage or Preferences Listed,21,0,3
State Carrier B,Dexcom,20,0,1
State Carrier B,No Coverage or Preferences Listed,17,0,3
State Carrier C,Dexcom,10,0,1
State Carrier C,FreeStyle,6,0,1
State Carrier C,Medtronic,6,0,1
State Carrier C,No Coverage or Preferences Listed,3,0,3
National Carrier B,Dexcom,174,0,1
National Carrier B,FreeStyle,295,0,1
National Carrier B,Medtronic,56,0,1
National Carrier B,Eversense,12,0,1
National Carrier B,No Coverage or Preferences Listed,16,0,3
State Carrier D,Dexcom,20,0,1
State Carrier D,FreeStyle,25,0,1
State Carrier D,No Coverage or Preferences Listed,5,0,3
Regional Carrier B,Dexcom,10,0,1
Regional Carrier B,FreeStyle,20,0,1
Regional Carrier B,Medtronic,6,0,1
Regional Carrier B,Eversense,6,0,1
Regional Carrier B,No Coverage or Preferences Listed,6,0,3
Regional Carrier C,Dexcom,90,0,1
Regional Carrier C,FreeStyle,40,0,1
Regional Carrier C,Medtronic,1,0,1
Regional Carrier C,Eversense,2,0,1
National Carrier C,Dexcom,42,0,1
National Carrier C,FreeStyle,78,0,1
National Carrier C,Eversense,2,0,1
Eversense,Eversense,2,1,2
Eversense,Match of Coverage and Preference,2,2,3
National Carrier C,No Coverage or Preferences Listed,81,0,3
National Carrier C,Medtronic,38,0,1
Medtronic,Medtronic,38,1,2
Medtronic,Match of Coverage and Preference,38,2,3
