Document Title,uuid_formula,airtable_uuid,duplicate_flagger
Non-Participating Laboratory Services,CHIR_IDrecauNJXtAbuHYBhK-101215-AKNon-Participati,recauNJXtAbuHYBhK,non_duplicate
"Midwife, Home Birth and Non-Clinical Maternal Services","CHIR_IDrecik4srG9BQ9zdgx-101216-AKMidwife, Home B",recik4srG9BQ9zdgx,non_duplicate
CGMS Authorization Request Form (WA Commercial),CHIR_IDrecJbe4s9j6sX8fvQ-103525-WACGMS Authorizat,recJbe4s9j6sX8fvQ,non_duplicate
"Complications of Non-Covered Services (Commercial, Medicare)",CHIR_IDrecNiddl6PQSVx33f-103532-AZComplications o,recNiddl6PQSVx33f,non_duplicate
Diabetes Tests and Supplies (WA Commercial),CHIR_IDrecZQYQn2C7Mfl3SX-103541-WADiabetes Tests ,recZQYQn2C7Mfl3SX,non_duplicate
Home Care Services (WA Commercial),CHIR_IDrecuLymBZ1DV39hli-103561-WAHome Care Servi,recuLymBZ1DV39hli,non_duplicate
New Insulin Pump (WA Commercial),CHIR_IDrecfuDu3JDTNsUNSm-103576-WANew Insulin Pum,recfuDu3JDTNsUNSm,non_duplicate
Replacement Insulin Pump (WA Commercial),CHIR_IDrecoyblyXLPak41lM-103577-WAReplacement Ins,recoyblyXLPak41lM,non_duplicate
Inpatient Skilled Nursing Facility (WA Commercial),CHIR_IDrecpUPdM7DA0QAcCl-103650-WAInpatient Skill,recpUPdM7DA0QAcCl,non_duplicate
Transition of Care (WA Commercial),CHIR_IDrecOussJYMQzU0aJy-103658-WATransition of C,recOussJYMQzU0aJy,non_duplicate
Off-Label Use of Drugs Without a Medical Policy (Commercial),CHIR_IDrecDWGTcsKhUiSMcf-104183-ILOff-Label Use o,recDWGTcsKhUiSMcf,cross_state_duplicate
Off-Label Use of Drugs Without a Medical Policy (Commercial),CHIR_IDrecUNrCj0UvZ9VzPp-104183-TXOff-Label Use o,recUNrCj0UvZ9VzPp,cross_state_duplicate
Intermittent Intravenous Insulin Therapy (Commercial),CHIR_IDrec3y5xm1ZQHBVbzb-104246-ILIntermittent In,rec3y5xm1ZQHBVbzb,cross_state_duplicate
Intermittent Intravenous Insulin Therapy (Commercial),CHIR_IDrec90WCCpeQVXX0Aq-104246-TXIntermittent In,rec90WCCpeQVXX0Aq,cross_state_duplicate
Staphylococcal Vaccines (Commercial),CHIR_IDrecvFzi3GKDPsJAnP-104273-ILStaphylococcal ,recvFzi3GKDPsJAnP,cross_state_duplicate
Staphylococcal Vaccines (Commercial),CHIR_IDrec0OPPvddybSEbve-104273-TXStaphylococcal ,rec0OPPvddybSEbve,cross_state_duplicate
Inside the U.S. Food and Drug Administration (FDA) (Commercial),CHIR_IDrecFxYUSUCTCH94o3-104297-ILInside the U.S.,recFxYUSUCTCH94o3,cross_state_duplicate
Inside the U.S. Food and Drug Administration (FDA) (Commercial),CHIR_IDrecikKcIoAfqYjEkP-104297-TXInside the U.S.,recikKcIoAfqYjEkP,cross_state_duplicate
