Document Title,Policy subpart,uuid_formula,airtable_uuid,Implanted_Type,CGM_count
Non-Participating Laboratory Services,,CHIR_IDrecauNJXtAbuHYBhK-101215-AKNon-Participati,recauNJXtAbuHYBhK,no devices,0
"Midwife, Home Birth and Non-Clinical Maternal Services",,"CHIR_IDrecik4srG9BQ9zdgx-101216-AKMidwife, Home B",recik4srG9BQ9zdgx,no devices,0
CGMS Authorization Request Form (WA Commercial),,CHIR_IDrecJbe4s9j6sX8fvQ-103525-WACGMS Authorizat,recJbe4s9j6sX8fvQ,non-implanted only,10
"Complications of Non-Covered Services (Commercial, Medicare)",,CHIR_IDrecNiddl6PQSVx33f-103532-AZComplications o,recNiddl6PQSVx33f,no devices,0
Diabetes Tests and Supplies (WA Commercial),,CHIR_IDrecZQYQn2C7Mfl3SX-103541-WADiabetes Tests ,recZQYQn2C7Mfl3SX,no devices,0
Home Care Services (WA Commercial),,CHIR_IDrecuLymBZ1DV39hli-103561-WAHome Care Servi,recuLymBZ1DV39hli,no devices,0
New Insulin Pump (WA Commercial),,CHIR_IDrecfuDu3JDTNsUNSm-103576-WANew Insulin Pum,recfuDu3JDTNsUNSm,no devices,0
Replacement Insulin Pump (WA Commercial),,CHIR_IDrecoyblyXLPak41lM-103577-WAReplacement Ins,recoyblyXLPak41lM,no devices,0
Inpatient Skilled Nursing Facility (WA Commercial),,CHIR_IDrecpUPdM7DA0QAcCl-103650-WAInpatient Skill,recpUPdM7DA0QAcCl,no devices,0
Transition of Care (WA Commercial),,CHIR_IDrecOussJYMQzU0aJy-103658-WATransition of C,recOussJYMQzU0aJy,no devices,0
"Outpatient Surgical Procedures - Site of Service (Commercial, Individual Exchange)",,CHIR_IDrecupDNDS0mFz9FaR-113829-AKOutpatient Surg,recupDNDS0mFz9FaR,no devices,0
Afrezza (Medical Necessity),,CHIR_IDrec3hRHPFrsvRwV3f-117810-AKAfrezza (Medica,rec3hRHPFrsvRwV3f,no devices,0
Insulin,,CHIR_IDreci09ocEr6l4KBqT-118771-AKInsulin,reci09ocEr6l4KBqT,no devices,0
PA/ST Program,,CHIR_IDrecJap5ATgZGl6QdV-128286-TXPA/ST Program,recJap5ATgZGl6QdV,no devices,0
Injectable Medications,,CHIR_IDrecWW8c1eZEG8EBpR-129672-AKInjectable Medi,recWW8c1eZEG8EBpR,no devices,0
Medication,,CHIR_IDrecN2aTwGpIFpI7fJ-129673-AKMedication,recN2aTwGpIFpI7fJ,no devices,0
Notification/PA Requirements (Commercial),,CHIR_IDrecN5e0TyJS8Ik4Ey-134147-AKNotification/PA,recN5e0TyJS8Ik4Ey,non-implanted only,1
Safety Items (Commercial),,CHIR_IDrecdzI60WdLGta5K3-134523-AKSafety Items (C,recdzI60WdLGta5K3,no devices,0
Human Papillomavirus (HPV) Vaccines (Commercial),,CHIR_IDrecoRjT4zxQijmqgK-134566-AKHuman Papilloma,recoRjT4zxQijmqgK,no devices,0
"Indications, Dosages and Administration of FDA-Approved Drugs (Commercial)",,"CHIR_IDrecELrqu2JWhFTNOl-134840-AKIndications, Do",recELrqu2JWhFTNOl,no devices,0
Antepartum Fetal Surveillance (Commercial),,CHIR_IDrec8ewo0CrasvKGnH-135894-AKAntepartum Feta,rec8ewo0CrasvKGnH,no devices,0
Anthrax Vaccine/Treatment (Commercial),,CHIR_IDrecBp30SpxjXQm2fr-135895-AKAnthrax Vaccine,recBp30SpxjXQm2fr,no devices,0
Cancer Vaccines (Commercial),,CHIR_IDreceS6IHJK32s5SKW-135913-AKCancer Vaccines,receS6IHJK32s5SKW,no devices,0
Coumadin (Warfarin) to Heparin Conversion Before and After Elective Surgery (Commercial),,CHIR_IDrecGi7t2oa4buTfSh-135931-AKCoumadin (Warfa,recGi7t2oa4buTfSh,no devices,0
Hepatitis A Vaccine (Commercial),,CHIR_IDrec9aEHyCNQhoNSoO-135975-AKHepatitis A Vac,rec9aEHyCNQhoNSoO,no devices,0
Hepatitis B Vaccine (Commercial),,CHIR_IDrecUmSjlFddUEIjn3-135976-AKHepatitis B Vac,recUmSjlFddUEIjn3,no devices,0
Home Health Aides (Commercial),,CHIR_IDrecdMQG34VANcOiw5-135979-AKHome Health Aid,recdMQG34VANcOiw5,no devices,0
Influenza Vaccine (Commercial),,CHIR_IDrec9XQekZrJzJS0el-135991-AKInfluenza Vacci,rec9XQekZrJzJS0el,no devices,0
Injectable Medications (Commercial),,CHIR_IDrecCY9bNbP4KTBLN0-135992-AKInjectable Medi,recCY9bNbP4KTBLN0,no devices,0
Inpatient Admission Prior to Surgery (Preop Days) (Commercial),,CHIR_IDrecpVpd6tePBKSmR9-135993-AKInpatient Admis,recpVpd6tePBKSmR9,no devices,0
Low Vision Programs (Commercial),,CHIR_IDrecYpQkkIfjCJr4e8-136005-AKLow Vision Prog,recYpQkkIfjCJr4e8,no devices,0
Meningococcal Vaccine (Commercial),,CHIR_IDrecZJyMbIfUqcg0vC-136018-AKMeningococcal V,recZJyMbIfUqcg0vC,no devices,0
Obsolete and Unreliable Tests and Procedures (Commercial),,CHIR_IDrecx7PsYL1dGacSMN-136030-AKObsolete and Un,recx7PsYL1dGacSMN,no devices,0
Outpatient Medical Self-Care Programs (Commercial),,CHIR_IDrecscshxqjEd7hWsp-136035-AKOutpatient Medi,recscshxqjEd7hWsp,no devices,0
Pneumococcal Vaccine (Commercial),,CHIR_IDrecAtXrNCpHYSs5bQ-136048-AKPneumococcal Va,recAtXrNCpHYSs5bQ,no devices,0
Polio Vaccine (Commercial),,CHIR_IDrec72PJZKF0JDjsiB-136049-AKPolio Vaccine (,rec72PJZKF0JDjsiB,no devices,0
Prenatal Care Provided by Primary Care Physicians (Commercial),,CHIR_IDrecsxicWSdN6ehHCT-136052-AKPrenatal Care P,recsxicWSdN6ehHCT,no devices,0
Skilled Home Health Care Nursing Services (Commercial),,CHIR_IDrecMMIonwL1VR6y66-136074-AKSkilled Home He,recMMIonwL1VR6y66,no devices,0
Skilled Home Private Duty Nursing Care (Commercial),,CHIR_IDreclZOLoI27BguclI-136075-AKSkilled Home Pr,reclZOLoI27BguclI,no devices,0
Vaccines for Travel (Commercial),,CHIR_IDrecpi0mFpjsYYURp1-136114-AKVaccines for Tr,recpi0mFpjsYYURp1,no devices,0
Varicella and Herpes Zoster Vaccines (Commercial),,CHIR_IDrecQnskXRWiDskHYv-136115-AKVaricella and H,recQnskXRWiDskHYv,no devices,0
Standard Formulary (DMHC) (Health Plan),,CHIR_IDrecnEX1X1DNveXeAe-136813-AKStandard Formul,recnEX1X1DNveXeAe,non-implanted only,2
Open Medication Guide (Health Plan),,CHIR_IDrecVvia4Pu6VHM9Gu-136815-AKOpen Medication,recVvia4Pu6VHM9Gu,non-implanted only,5
Closed Medication Guide (Health Plan),,CHIR_IDrecjrAjcPKtKkec7x-136816-AKClosed Medicati,recjrAjcPKtKkec7x,non-implanted only,5
Basic Drug List (Health Plan),,CHIR_IDrecaFb1RpCNsr1lxH-136824-AKBasic Drug List,recaFb1RpCNsr1lxH,non-implanted only,2
