Line of Business,New Market Segment(s),Payer,Payer (Detailed),States,Covered Lives
Commercial,Large Group,Aetna,Aetna,AK,"52,557"
Commercial,Self Funded/Employer Sponsored,Aetna,Aetna,AK,"132,640"
Commercial,Small Group,Aetna,Aetna,AK,"27,141"
Commercial,Self Funded/Employer Sponsored,Aetna,Aetna,AL,"46,891"
Commercial,Large Group,Aetna,Aetna,AR,"1,141"
Commercial,Self Funded/Employer Sponsored,Aetna,Aetna,AR,"58,482"
Commercial,Individual,Aetna,Banner Health | Aetna,AZ,"120,893"
Commercial,Large Group,Aetna,Aetna,AZ,"1,127"
Commercial,Large Group,Aetna,Banner Health | Aetna,AZ,"20,693"
Commercial,Self Funded/Employer Sponsored,Aetna,Aetna,AZ,"533,962"
Commercial,Self Funded/Employer Sponsored,Aetna,Banner Health | Aetna,AZ,"170,443"
Commercial,Small Group,Aetna,Aetna,AZ,398
Commercial,Small Group,Aetna,Banner Health | Aetna,AZ,"9,861"
Commercial,Large Group,Aetna,Aetna,CA,"167,830"
Commercial,Self Funded/Employer Sponsored,Aetna,Aetna,CA,"740,513"
Commercial,Small Group,Aetna,Aetna,CA,"12,806"
Commercial,Large Group,Aetna,Aetna,CO,"38,236"
Commercial,Self Funded/Employer Sponsored,Aetna,Aetna,CO,"197,468"
Commercial,Small Group,Aetna,Aetna,CO,"19,857"
Commercial,Self Funded/Employer Sponsored,Aetna,Aetna,CT,"378,144"
Commercial,Large Group,Aetna,Aetna,DC,"96,960"
Commercial,Self Funded/Employer Sponsored,Aetna,Aetna,DC,"67,059"
Commercial,Small Group,Aetna,Aetna,DC,65
Commercial,Individual,Aetna,Aetna,DE,"5,969"
Commercial,Large Group,Aetna,Aetna,DE,994
Commercial,Self Funded/Employer Sponsored,Aetna,Aetna,DE,"73,720"
Commercial,Small Group,Aetna,Aetna,DE,514
Commercial,Individual,Aetna,Aetna,FL,"601,945"
Commercial,Large Group,Aetna,Aetna,FL,"445,209"
Commercial,Self Funded/Employer Sponsored,Aetna,Aetna,FL,"857,532"
Commercial,Small Group,Aetna,Aetna,FL,"153,921"
Commercial,Individual,Aetna,Aetna,GA,"131,174"
Commercial,Large Group,Aetna,Aetna,GA,"83,339"
Commercial,Self Funded/Employer Sponsored,Aetna,Aetna,GA,"418,676"
Commercial,Small Group,Aetna,Aetna,GA,"105,877"
Commercial,Self Funded/Employer Sponsored,Aetna,Aetna,HI,"9,592"
Commercial,Self Funded/Employer Sponsored,Aetna,Aetna,IA,"55,779"
Commercial,Self Funded/Employer Sponsored,Aetna,Aetna,ID,"49,999"
Commercial,Individual,Aetna,Aetna,IL,"45,511"
Commercial,Large Group,Aetna,Aetna,IL,"62,026"
Commercial,Self Funded/Employer Sponsored,Aetna,Aetna,IL,"812,430"
Commercial,Small Group,Aetna,Aetna,IL,"26,915"
