Document Title,uuid_formula,UUID_dupe,airtable_record_id,New State Grouping
Advanced Control Choice Plan Formulary (Health Plan),CHIR_IDrecB26CXyDh8l6Vq1-341588-AKAdvanced Contro,CHIR_IDrecB26CXyDh8l6Vq1-341588-AKAdvanced Contro,recB26CXyDh8l6Vq1,All States
Aetna Standard Opt Out Plan Pharmacy Drug Guide (Health Plan),CHIR_IDrecpH7DQtagVRUhw4-300608-AKAetna Standard ,CHIR_IDrecpH7DQtagVRUhw4-300608-AKAetna Standard ,recpH7DQtagVRUhw4,All States
Standard Control Choice Plan Drug List (Health Plan),CHIR_IDrecLVjkKWJGLYeT58-341596-AKStandard Contro,CHIR_IDrecLVjkKWJGLYeT58-341596-AKStandard Contro,recLVjkKWJGLYeT58,All States
Standard Control Plan Pharmacy Drug Guide (Health Plan),CHIR_IDrecHuqUEyqll1D7Mf-315260-AKStandard Contro,CHIR_IDrecHuqUEyqll1D7Mf-315260-AKStandard Contro,recHuqUEyqll1D7Mf,All States
Standard Plan Preferred Drug List (Health Plan),CHIR_IDrecaNmGxleRLQyfPo-191415-AKStandard Plan P,CHIR_IDrecaNmGxleRLQyfPo-191415-AKStandard Plan P,recaNmGxleRLQyfPo,All States
Innovation Health Standard Plan Pharmacy Drug Guide (Health Plan),CHIR_IDrec7Lt5WEYdrxgA8Y-310574-AKInnovation Heal,CHIR_IDrec7Lt5WEYdrxgA8Y-310574-AKInnovation Heal,rec7Lt5WEYdrxgA8Y,All States
Standard Control Choice Plan with ACSF Drug List (Health Plan),CHIR_IDrecx5fFJx0Gf2mFCx-341602-AKStandard Contro,CHIR_IDrecx5fFJx0Gf2mFCx-341602-AKStandard Contro,recx5fFJx0Gf2mFCx,All States
Advanced Control Plan Pharmacy Drug Guide (Health Plan),CHIR_IDrecBQ3c1QzKs20vEI-229627-AKAdvanced Contro,CHIR_IDrecBQ3c1QzKs20vEI-229627-AKAdvanced Contro,recBQ3c1QzKs20vEI,All States
Innovation Health Advanced Control Plan Pharmacy Drug Guide (Health Plan),CHIR_IDrecOWUWJx5ffH4yNI-300609-AKInnovation Heal,CHIR_IDrecOWUWJx5ffH4yNI-300609-AKInnovation Heal,recOWUWJx5ffH4yNI,All States
Basic Control Plan Pharmacy Drug Guide (Health Plan),CHIR_IDrecZe1pN1IHX50OOc-315127-AKBasic Control P,CHIR_IDrecZe1pN1IHX50OOc-315127-AKBasic Control P,recZe1pN1IHX50OOc,All States
Innovation Health Standard Opt Out Plan with ACSF Pharmacy Drug Guide (Health Plan),CHIR_IDrec6d3N09C8zha8jy-310578-AKInnovation Heal,CHIR_IDrec6d3N09C8zha8jy-310578-AKInnovation Heal,rec6d3N09C8zha8jy,All States
Innovation Health Standard Opt Out Plan Pharmacy Drug Guide (Health Plan),CHIR_IDrec332gsNO6pxm0mS-300610-AKInnovation Heal,CHIR_IDrec332gsNO6pxm0mS-300610-AKInnovation Heal,rec332gsNO6pxm0mS,All States
Basic Control Plan with ACSF Pharmacy Drug Guide (Health Plan),CHIR_IDrec6Q1HVwJEbJegcU-315131-AKBasic Control P,CHIR_IDrec6Q1HVwJEbJegcU-315131-AKBasic Control P,rec6Q1HVwJEbJegcU,All States
Aetna Standard Opt Out Plan Formulary (Health Plan),CHIR_IDrecUUWaVf6lWkBoVZ-225926-IDAetna Standard ,CHIR_IDrecUUWaVf6lWkBoVZ-225926-IDAetna Standard ,recUUWaVf6lWkBoVZ,"Only 4 State(s): ID, NV, TX, UT"
Aetna Advanced Control Plan Pharmacy Drug Guide (Health Plan),CHIR_IDrecDBS0ZAgvcdJ9Ri-300605-AKAetna Advanced ,CHIR_IDrecDBS0ZAgvcdJ9Ri-300605-AKAetna Advanced ,recDBS0ZAgvcdJ9Ri,All States
